Name,Overview,Duration,Min_req,Branch/Intake,Career Prospects,Fees,,
Diploma in Information Technology,"This programme provides students with a basic understanding of computing techniques and aims to develop the computing and information technology-based knowledge and skills required in modern industrial, commercial and service organisations. It will equip students with essential knowledge of the underlying principles of modern computing technology and enable students to appreciate how modern computers are applied to a range of real world problems. Students will learn C Language, Java, Assembly Language, Oracle Database, HTML5, CSS, PHP and JavaScript. Upon completion, graduates will have acquired knowledge and developed skills in the areas of computer programming, systems analysis, operating systems, computer networking, computer applications and object-oriented software development, as well as in generic business courses.", Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:June

Campuses:
KL - Kuala Lumpur Main Campus
PG - Penang Branch Campus
PK - Perak Branch Campus
JH - Johor Branch Campus
PH - Pahang Branch
SB - Sabah Branch"," Career Prospects:
Junior Programmers
Junior Systems Analysts
Junior Network Support Officers
Junior IT Support Executives
Junior IT Executives
Web Developer","Estimated Total Fees : RM 17,800 (Malaysian Student), RM33,600 (International Student)

The estimated total fees may vary by 10%",,
Diploma in Journalism,"This programme is catered for students who wish to develop a successful career in journalism and the media industry. The programme equips students with practical skills for media reporting with an emphasis on hands-on learning experience.With industry relevant content, the programme offers a holistic learning experience that produces graduates that are employable in the journalism and media industry.",Duration:2 Years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:JUNE & NOV

Campus:Kuala Lumpur Main Campus "," Career Prospects:
Journalists
Writers
Reporters
Communications Executives
Content Writers","Estimated Total Fees: RM18,300 (Malaysian Students), RM34,600 (International Students)

The estimated total fees may vary by 10%. ",,
Diploma in Logistics and Supply Chain Management,This programme is designed to produce graduates who have broad understanding of the logistics and supply chain management to meet the needs of industries. The knowledge and skills obtained will allow graduates to seek employment in any industry with logistics and supply chain management function., Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language"," 
Intake:
June and November
Campus:KL Main Campus (R/345/4/1161)(08/23)(AA0070), Pahang (N/345/4/1137)(10/24)(MQA/FA 10730) ","Graduates of Diploma in Logistics and Supply Chain Management can seek employment in any industries with logistics functions such as:

Transportations
Manufacturing
Engineering
Trading
Retailing at the sub-professional level & etc","Estimated Total Fees: RM17,600 (Malaysian Student), RM33,600 (International Student)
The estimated total fees may vary by 10%. ",,
Diploma in Manufacturing technology,"Manufacturing technology encompasses software-based systems, material forming equipment and processes, material removal tools and processes, tooling systems, automated systems and additive processes etc. It refers to any technology that shapes or influences the manufacturing processes. Manufacturing processes are defined as all the activities involved in translating raw materials into finished products through the use of labour, machinery, chemicals, formulation methods, or biological processes. This diploma aims to produce graduates with a sound foundation in manufacturing technology field. Graduates are equipped with the knowledge which are essential for their future employment.",Duration2 years 4 months,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Credit/O Level Grade C/UEC Grade B in one relevant science/technical/vocational subject
(iii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:January, May/June, November (Selected programme)
Campus:KL Main Campus","Diploma graduates may be employed in a wide variety of manufacturing industries such as iron & steels, petrochemicals, electronics, ceramics, polymers, composites, automotive and aerospace industries as assistant engineers, metallurgical technician, quality control technician, service technician, testing technician, production technician, sales & marketing executive. Diploma graduates also can pursue further study in the relevant Bachelor of Technology programme.","Estimated Total Fees: (RM) RM18,400 (Malaysian Student), Rm 36,100 (International Student)

The estimated total fees may vary by 10%. ",,
Diploma in Marketing,The programme is designed to provide students with the fundamental knowledge and skills in sales and marketing, Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language"," Intake:
June and November (November intake only for KL main campus) 
Campus:KL Main Campus (R/342/4/0162)(08/23)(AA0069), Perak (R/342/4/0157)(09/23)(MQA/FA 1075)and Sabah (R/340/4/0301)(12/23)(AA0123) Branch Campuses","Graduates Diploma in Marketing can seek employment in areas such:

Sales
Market Research
Advertising and Promotion
Retail and Distribution
International Marketing
Product Development at the Sub-professional Level & etc","Estimated Total Fees: RM17,600 (Malaysian Student), RM33,600 (International Student)
The estimated total fees may vary by 10%. ",,
Diploma of Mechanical Engineering,"Mechanical engineering is the broadest among all engineering disciplines. Thus, most of the modern day inventions are due to knowledge and application of mechanical engineering. Ranging from simple machineries to supersonic jets and self-driving vehicles, mechanical engineers were always involved from the inception of an idea to the creation of market-ready product. Graduates trained under mechanical engineering will be equipped with the know-hows and skills to work in a wide spectrum of industries such as manufacturing, automotive, modern agriculture, bio-medical, building services and product design. They are well prepared to contribute to the modern world, fulfilling the needs of the Fourth Industrial Revolution (IR 4.0).",Duration:2 years 6 months,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Credit/O Level Grade C/UEC Grade B in Physics/Chemistry/or one relevant technical/vocational subject
(iii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:January, May/June, November (Selected programme)
Campus:KL Main Campus","Graduates with diploma qualification are competent in working as assistant engineers or technicians in various sectors, including mechanical, manufacturing, process and production, design and development, and also in relevant sales or marketing sectors.

•Assistant Engineers

•Technician

•Sales/Marketing sectors related to Mechanical Engineering","Estimated Total Fees: (RM) RM20,000 (Malaysian Student), Rm 38,100 (International Student)

The estimated total fees may vary by 10%. ",,
Diploma of Mechatronic Engineering,"Mechatronics is a multidisciplinary engineering branch incorporating Mechanical, Electronics, Control, Networking and Software systems. The synergy of these systems is widely used in multiple industries which typically include automation and system integration. Graduates are therefore involved in almost all levels of various sectors, namely: design, development, applications, manufacturing and advanced research.",Duration:2 years 6 months,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Credit/O Level Grade C/UEC Grade B in Physics/Chemistry/or one relevant technical/vocational subject
(iii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:January, May/June, November (Selected programme)
Campus:KL Main Campus","Diploma level graduates are eligible to contribute as assistant engineers or technicians in automation, robotics, instrumentation & control and systems engineering sectors and also in relevant sales or marketing sectors.

•Assistant Engineers

•Technician

•Sales/Marketing sectors related to Mechatronics Engineering","Estimated Total Fees: (RM) RM20,000. (Malaysian Student), RM38,100 (International Student).

The estimated total fees may vary by 10%. ",,
Diploma in Media Studies,"This programme aims to provide students a holistic exposure of media especially in this era of convergence. Students will have greater understanding of the mass media  their functions, impact and future direction. Students will also acquire writing, speaking and audio-visual production skills that enhance their employment for the multifaceted media industries.",Duration:2 Years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:JUNE & NOV 

Campus:Kuala Lumpur Main Campus ","Career Prospects:
Advertising
Public relations
Print media and electronic media
Writers
Producers of information
Media planner","Estimated Total Fees: RM18,000 (Malaysian Students), RM33,900 (International Students)

The estimated total fees may vary by 10%.",,
Diploma In Multimedia Design,"This programme offers students the opportunity to explore an extensive multimedia education. Students will be taught the way to integrate the theoretical, creative, conceptual, and technical aspects of design and development with modern technology. It helps students to develop a range of interactive media production skills, including design, motion graphics, web development, video and sound editing, prototyping, graphic production, and interactive design.

On top of that, the practical hands-on activities provided in this programme will help to cultivate students' teamwork and project management skills. This programme also includes an industrial training course, allowing students to experience and involve in industrial-level projects.",Duration:2 Years 4 months,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:JUNE

Campus:Kuala Lumpur Main Campus ","Career Prospects:   
Multimedia Designers
Character Designers
Web Designers
UI/UX Designers
Graphic Designers
2D Animators
Game Designers / Artists
3D Modelers
Video Editors
Instructional Media Designers","Estimated Total Fees: RM18,500 (Malaysian Students), RM35,900 (International Students)

The estimated total fees may vary by 10%.",,
Diploma in Public Relations,"This programme develops students knowledge and practical expertise in formulating PR plans and publicity activities, producing PR write-ups and promotional material. To produce capable PR and media relations practitioners, the programme entails courses in PR strategies, PR writing, media relations, integrated marketing, digital media, public opinion and public oration. Students experiential skills are enhanced via case studies, presentations, event and internship.",Duration:2 Years ,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intakes:JUNE (KL/PG/PK)

Campus:Kuala Lumpur Main Campus ,Penang Branch Campus [PG] ,Perak Branch Campus [PK] ","Career Prospects:
• Public relations
• Advertising
• Marketing communication
• Events management
• Media
• Hospitality
• Customer relations","Estimated Total Fees: RM18,000 (Malaysian Students), RM33,900 (International Students)

The estimated total fees may vary by 10%.",,
Diploma in Product Development Technology,"Product Development is the process of conceptualising and designing products, either physical or digital, to provide end users with solutions that meet their needs. For the purpose of developing new product or improving an existing product, it is imperative that product development technologists identify company goals in conjunction with market opportunities, prior to applying well-defined principles and technologies in a creative way. Product development technologists also formulate manufacturing specifications and perform design analyses to ensure all products meet industry standards and guidelines for functionality. Graduates trained under product development technology programme are expected to be innovative, creative, and analytical with excellent working knowledge using 3D modelling software and other modern technology tools.",Duration: 2 years 4 months,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Credit/O Level Grade C/UEC Grade B in one relevant science/technical/vocational subject
(iii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:January, May/June, November (Selected programme)
Campus:KL Main Campus","Graduates of Diploma in Product Development Technology are Manufacturing and Industrial Technologists with broad technical and managerial background within their profession. Graduates can build their career as an assistant engineer, technical associate, or technician in the field of product research and development, product design and marketing, product testing and quality assurance, product manufacturing and production, mechanical and machineries design, as well as automation and control. They are well prepared as a technoprenuer to fulfil the country’s needs of the Fourth Industrial Revolution (IR 4.0). Graduates are also encouraged to further their study in the relevant Bachelor Degree Programme.","Estimated Total Fees: (RM) RM18,600 (Malaysian Student), Rm 36,100 (International Student)

The estimated total fees may vary by 10%. ",,
Diploma in Quantity Surveying,"The programme equips students with essential knowledge and skills in Quantity Surveying practices such as preparing project feasibility study; handling financial issues of the project; preparing tender and contract documents including measurement of construction works and pricing; evaluation and selection of appropriate procurement system, contractual arrangement and tendering method which satisfies the client's needs in terms of time, cost, quality and legal aspects; and advising the contractual issues based on general contract principles of Building Contract as well as general legal principles of Contract Law, Sale of Goods Act and Law of Tort.",Duration:2.5 years,"SPM with 3 credits in the relevant subjects which include one Mathematics subject / O Level with 3 Grade C in the relevant subjects which must include one Mathematics subject/ UEC with 3 Grade B in the relevant subjects  which must include one Mathematics subject
Compulsory subjects: SPM Credit/O Level Grade C/UEC Grade B in Bahasa Melayu OR English Language where minimum SPM Pass/O Level Grade E (Pass)/UEC Grade C in the other subject is required
","Intake:January & July

Campus:KL Main Campus,Penang Branch","Upon completion of the programme, graduates can be employed as executive and/or administrative levels personnel in quantity surveying practices which include, but not limited to, take-off quantities, estimating, tendering, purchasing, cost control, and contract administration as well as project implementation in the construction industry.","Estimated Total Fees: (RM) 20,000 – Malaysian Students

                                           (RM) 38,500 – International Students

The estimated total fees may vary by 10%. ",,
Diploma in Real Estate Management,"This programme equips students with essential fundamental knowledge and skills in estate agency practices and sound foundation in property valuation and management under the built environment sector Malaysia. Students will be trained to handle marketing, sales and rental transactions issues of land and property including financial arrangement and advise its related tax, cost and expense to be incurred, management of property and rental review of land and property.",Duratio:2 Years 4 Months,"SPM with 3 credits in the relevant subjects which include one Mathematics subject / O Level with 3 Grade C in the relevant subjects which must include one Mathematics subject/ UEC with 3 Grade B in the relevant subjects  which must include one Mathematics subject
Compulsory subjects: SPM Pass/O Level Grade E (PassP/UEC Grade C in English Language","Intake:January & July
Campus:KL Main Campus","Graduates can be employed as: 

Valuer
Estate Agent
Property Manager
Property Market Researcher
Property Development 
Property Investment
Leasing/Tenancy Officer or Executive","Estimated Total Fees: (RM) 20,000 Malaysian Students

                                           (RM) 38,500 – International Students

The estimated total fees may vary by 10%.",,
Diploma in Retail Management,This programme is designed to provide students with the fundamental knowledge and skills in the operation of retail businesses., Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:
June and November (November intake only for KL main campus)
Campus:KL Main Campus (R/341/4/0081)(08/23)(AA0253)","Graduates of Diploma in Retail Management can seek employment in retail businesses such as:

Retail Executive
Store Executive
Operations Executive
Departmental Supervisor
Credit Control Executive
Customer Service Executive
Retail Buyer
Sales Executive
Marketing Executive
Direct Sales Agent & etc","Estimated Total Fees: RM17,700 (Malaysian Student), RM34,000 (International Student)
The estimated total fees may vary by 10%. ",,
Diploma in Science,"This programme aims to produce chemistry and biology graduates at the sub-professional level. It equips students with the necessary basic knowledge of scientifc concepts and theoretical principles to understand chemical and biological phenomena and processes, and trains students to perform standard chemical and biological laboratory procedures. This programme covers both the practical and theoretical aspects of the subjects. The chemistry syllabi provide a detailed coverage of various topics including atomic and molecular structures, properties of matter, properties and reactions of elements and compounds, analytical techniques and industrial products. The biology syllabi cover a broad spectrum of topics which include cells, energetics, homeostasis and excretion, reproduction and development, biodiversity, ecology, and microbiology. This programme largely emphasises the application of chemical principles in control of the living environment.",Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Credit/O Level Grade C/UEC Grade B in Biology or Chemistry where minimum SPM Pass/O Level Grade E (Pass)/UEC Grade C in the other subject is required
(ii) SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in Advanced Mathematics (I or II)
(iii) SPM Pass/ O Level Grade E (PassP/UEC Grade C in English Language","Intake:February, June & November
 Campus:KL Main Campus ","Career Prospects:
Quality controllers
Technical assistants in manufacturing industries or medical establishments
Laboratory supervisors in manufacturing industries or medical establishments
Product Specialists
Research Assistants
Quality Assurance Technologists
Sales Executives","Estimated Total Fees: RM18,300 (Malaysian Student), RM34,600 (International Student)

The estimated total fees may vary by 10%. ",,
Diploma in Software Engineering,"This programme equips students with the fundamental knowledge of software engineering with practical and analytical thinking skills in software development. It also provides students with basic managerial skills and innovation in creating business opportunities in the area of software engineering, as well as educational experience that motivates them to pursue higher level of study and life-long learning.",Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:June

Campus:SB - Sabah Branch
","Career Prospects:
Junior Software Engineers
Junior Software Developers
Junior Software Testers
Junior Web Developers
Junior Database Administrators
Junior Systems Analysts","Estimated Total Fees : RM 17,800 (Malaysian Student)

The estimated total fees may vary by 10%",,
Diploma in Sport and Exercise Science,"This programme is designed to cover the application of scientifc principles on three branches of science  biomechanics, physiology and interdisciplinary approaches. The sports science area largely offers expert scientifc backup for top sport training and performance, while exercise science has a central role in physical programmes aimed at improving general health. The qualifed sport and exercise scientist can expect to have a broad technical and physiological knowledge, and stands to beneft from current developments within the field offering a professional status that is recognised worldwide. This programme covers a broad, multidisciplinary study of sport and exercise science. Students will be introduced the sports concepts and practices, principles of coaching, health and wellness, and various games in sports. Students will develop knowledge and understanding of how scientifc methods can be used to examine sport and exercise activities in subjects such as anatomy and physiology, sports psychology, sport biomechanics as well as motor learning and development. Other topics include sports management, maintenance of sport facilities, sports injuries, legal and ethical issues in sports, and sports nutrition.",Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in one relevant science subject AND English Language","Intake:February, June & November
Campus:KL Main Campus ","Career Prospects:
Fitness Trainers
Sport Coaches
Sport Administrators
Sports Facilities Maintenance Personnels
Physical Education Teachers","Estimated Total Fees: RM17,800 (Malaysian Student), RM33,600 (International Student)

The estimated total fees may vary by 10%. ",,
Diploma in Tourism Management,"The tourism industry in Malaysia is one of the fastest growing industries with significant contributions to the national economy. As the sector grows, there will be a greater emphasis and commitment to expand and improve tourism products and services. Being one of the most competitive hospitality and tourism courses/programmes in Malaysia, this programme will involve students in the context of travel-related business, such as marketing, foreign languages as well as convention and meeting management. Special emphasis is placed on the development of interpersonal, communication and critical thinking skills. Graduates would have developed a mature understanding of their field through lectures, class discussions, case studies, field trips as well as industrial attachments.",Duration:2 years ,"SPM with 3 credits in the relevamt subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:
KL - June & November
PK - June 
Campus:KL - Kuala Lumpur Main Campus,PK - Perak Branch Campus","Tourism Industry, e.g. Work in Travel Agencies, Tourist Attractions, Resorts and Hotels
 Administrators, Planners or Executives, Tour Leaders in the Industry
Research and Development, Tourism Marketing, Eco-tourism, Tourist Attraction, Conferences, Exhibition Centres and Travel Agencies","Estimated Total Fees: RM17,600 (Malaysian Student), RM33,300 (International Student)

The estimated total fees may vary by 10%. ",,
Bachelor of Accounting (Honours),"This programme provides a wide spectrum of knowledge and skills required for a career in the accountancy and finance profession. The curriculum covers key areas such as financial accounting & reporting, management accounting & control, accounting information systems, audit & assurance, public sector accounting, taxation, corporate governance, and professional values & ethics.", Duration:4 years,"STPM: Minimum Grade C+ in 2 relevant subjects
A Level: Minimum Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma (with minimum CGPA 2.5000) accredited by MQA
TARUC: Foundation in Accounting/Relevant Diploma (with minimum CGPA 2.5000)
AND
SPM Credit/O Level Grade C in Mathematics/UEC Grade B in one Mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
AND
MUET Band 2/IELTS Band Score 4.0/equivalent"," Intake:June, November and February 
Campus:KL Main Campus ","Career prospects for graduates of Bachelor of Accounting (Honours) are wide and varied. Graduates can serve in the following areas:

Accounting
Corporate Finance
Corporate Advisory
Corporate Reporting
Taxation
Risk Management & etc","Estimated Total Fees: RM41,300 (Malaysian Student), RM72,400 (International Student)",,
Bachelor of Business (Honours) Accounting and Finance,"This programme aims to produce graduates who are equipped with the requisite knowledge, practical skills and attributes to pursue a career in the accountancy and finance profession. The curriculum covers key areas such as financial accounting & reporting, management accounting & control, management information systems, taxation, corporate governance, risk management and financial management.", Duration:3 years,"STPM: Minimum Grade C in 2 relevant subjects
A Level: Minimum Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Business/Relevant Diploma 
AND
SPM Credit/O Level Grade C in Mathematics/UEC Grade B in one Mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
","Intake:
June, November and February (November intake for year 1 applicable to all except Pahang while intake for year 2 only for Penang, Perak and Pahang branch campuses)
Campus:Penang, Perak, Johor ,Sabah  and Pahang branch campuses.","Career prospects for graduates are wide and varied. Graduates can serve in the following areas:

Accounting
Assurance Services
Taxation
Treasury
Corporate Finance
Risk Management
Commerce and Industry
Public Practice
Financial Institutions
Treasury Management
Wealth and Fund Management & etc","Estimated Total Fees: RM35,100 (Malaysian Student), RM61,200 (International student)",,
Bachelor of Communication (Honours) in Advertising,"This programme encompasses the basic knowledge and practical skills of advertising, media and communication. This programme aims not only to produce advertising personnel who can apply the relevant skills in the field of advertising, but also to offer students a greater depth of knowledge and practical skills in terms of management and persuasive communication, preparing students to join a competitive and dynamic industry. They will also develop a critical understanding and appreciation of the advertising profession.",Duration:3 Years,"STPM: Minimum Grade C in 2 relevant subjects
A Level: Minimum Grade D in 2 relevant subjects
UEC: Grade B in 5 relevant subjects
other IHL: relevant foundation/Diploma accredited by MQA
TARUC: Foundation in Arts/Relevant Diploma 
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
","Intake: 
YEAR 1 : JUNE & NOV
YEAR 2 : JUNE & NOV

Campus:Kuala Lumpur Main Campus ","Career Prospects:
Advertising Account Executives
Media Planners
Copywriters
Advertising & Promotion Personnel
Social Media Executives
Digital Marketing Executives
Creative Director
Talent Executives
Multimedia Content Creator
Market & Consumer Analyst","Estimated Total Fees: RM 34,600 (Malaysian Students), RM60,500 (International Students)",,
Bachelor of Science (Hons) in Analytical Chemistry,"Analytical chemistry is the science of obtaining, processing, and communicating information about the composition and structure of natural and artificial materials. That is to say, analytical chemistry is the combination of art and science of determining what matter is (identification) and how much of it (quantification) exists. Analytical chemistry also focuses on improvements in experimental design, chemometrics, and the creation of new measurement tools to provide better chemical information. Analytical chemistry has applications in forensics, bioanalysis, clinical analysis, environmental analysis and materials analysis. As a scientific field which has such great diversity in its application, students trained in this programme will surely be in great demand in chemical related industries.

The Analytical Chemistry programme prepares graduates with the foundation to use their knowledge of chemistry, instrumentation, computer, and statistics to solve problems in almost all areas of chemistry and for all kinds of industries. For example, their measurements are used to assure the safety and quality of food, pharmaceuticals, and water; to assure compliance with environmental and other regulations; to support the legal process; to help physicians diagnose diseases; and to provide measurements and documentation essential to trade and commerce.

This programme equips students with technical knowledge of analytical chemistry. The students will also be made aware of international standards that bound them to the society and industry. They will have an opportunity to work with industry through their internship and to carry out a real-life research project on analytical chemistry. All such training will add value to their qualification and later to their employment opportunities.

This programme is endorsed by Institut Kimia Malaysia (IKM). Graduates of this programme can join IKM as a member and hence recognised as a ‘Registered Chemist’ in Malaysia.", Duration:3 years,"STPM: Minimum Grade C in 2 relevant subjects which must include Chemistry
A Level: Minimum Grade D in 2 relevant subjects which must include Chemistry
UEC: Grade B in 5 relevant subjects which must include Chemistry
other IHL: relevant foundation/Diploma accredited by MQA
TARUMT: Foundation in Science (Track A/Track B)/Diploma in Science
AND
SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
","Intake:February, June & November
 Campus:KL Main Campus","Research Scientists
Analytical Chemists in commercial laboratories
Quality Control/Assurance Chemists
Laboratory Supervisors
Product Chemists (Analytical Instrumentation)
Occupational Health and Safety Specialists
Environmental Impact Assessment (EIA) Officers (Chemistry aspect)
Product Development Chemists (pharmaceutical area, food industry, cosmetic industry, polymer industry, etc)
Product Specialists
Toxicologists
Science Communicators
Atmospheric Chemists
Sustainability Managers
Sport Scientists
Policy Researchers","Estimated Total Fees: RM34,900 (Malaysian Student), RM60,800 (International Student)

The estimated total fees may vary by 10%. ",,
Bachelor of Science (Hons) in Applied Physics (Instrumentation),"This programme equips students with the knowledge in physics and instrumentations, and operational technical skill, which would lay the foundation for applications in various industrial areas. Students will go through training in the applications of physics and instrumentations, computer simulations, designing virtual instruments using Labview and handling advanced equipment such as thermal evaporator and atomic force microscope. This programme would lay the foundation for future applied physics innovators in material sciences, instrumentations, biomedical and healthcare equipment designers.

Academically, this programme has adequate coverage in its core physics contents, and graduates are well prepared to continue their post-graduate studies in physics, locally or overseas. Additionally, they can also pursue post-graduate studies in cross-disciplinary fields such as nanoscience, biophysics, chemical physics, medical physics, and geophysics.",Duration:3 years,"STPM: Minimum Grade C in 2 relevant subjects which must include Physics
A Level: Minimum Grade D in 2 relevant subjects which must include Physics
UEC: Grade B in 5 relevant subjects which must include Physics
other IHL: relevant foundation/Diploma accredited by MQA
TARUMT: Foundation in Science (Track A/Track B)
AND
SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one mathematics subject
AND
SPM Pass/O Level Grade E(Pass)/UEC Grade C in English Language
"," Intake:February, June & November
Campus:KL Main Campus"," Career Prospects:
Research & Development Personnel
Semiconductor Test Engineers
Semiconductor Design Engineers
Instrumentation Engineers
Biomedical Devices Engineers","Estimated Total Fees: RM34,100 (Malaysian Student), RM59,500 (International Student)

The estimated total fees may vary by 10%. ",,
